Year,Jurisdiction,Stream,Management,Fate,Tonnes
2017,Qld,Total,Recycling,Recycling,66045.0
2017,SA,C&I,Landfill,Disposal,38866.0
2017,SA,C&I,Landfill,Energy recovery,17237.0
2017,SA,C&I,Recycling,Recycling,9058.0
2017,SA,MSW,Landfill,Disposal,117753.0
2017,SA,MSW,Landfill,Energy recovery,52222.0
2017,SA,Total,Landfill,Disposal,156619.0
2017,SA,Total,Landfill,Energy recovery,69459.0
2017,SA,Total,Recycling,Recycling,9058.0
2017,Vic,C&D,Landfill,Disposal,1768.0
2017,Vic,C&D,Landfill,Energy recovery,1064.0
2017,Vic,C&D,Recycling,Recycling,582.0
2017,Vic,C&I,Anaerobic digestion,Recycling,18000.0
2017,Vic,C&I,Landfill,Disposal,182060.0
2017,Vic,C&I,Landfill,Energy recovery,109525.0
2017,Vic,C&I,Recycling,Recycling,42055.0
2017,Vic,MSW,Landfill,Disposal,451448.0
2017,Vic,MSW,Landfill,Energy recovery,271586.0
2017,Vic,MSW,Recycling,Recycling,9135.0
2017,Vic,Total,Anaerobic digestion,Recycling,18000.0
2017,Vic,Total,Energy from waste facility,Energy recovery,18000.0
2017,Vic,Total,Landfill,Disposal,635276.0
2017,Vic,Total,Landfill,Energy recovery,382175.0
2017,Vic,Total,Recycling,Recycling,33772.0
2017,WA,C&I,Landfill,Disposal,130860.0
2017,WA,C&I,Landfill,Energy recovery,38741.0
2017,WA,C&I,Recycling,Recycling,27950.0
2017,WA,MSW,Landfill,Disposal,276467.0
2017,WA,MSW,Landfill,Energy recovery,81848.0
2017,WA,MSW,Recycling,Recycling,48439.0
2017,WA,Total,Landfill,Disposal,407327.0
2017,WA,Total,Landfill,Energy recovery,120589.0
2017,WA,Total,Recycling,Recycling,76389.0
2016,ACT,C&I,Landfill,Disposal,10871.0
2016,ACT,C&I,Landfill,Energy recovery,5795.0
2016,ACT,MSW,Landfill,Disposal,23260.0
2016,ACT,MSW,Landfill,Energy recovery,12400.0
2016,ACT,Total,Landfill,Disposal,34131.0
2016,ACT,Total,Landfill,Energy recovery,18196.0
2016,ACT,Total,Recycling,Recycling,152.0
2016,NSW,C&D,Landfill,Disposal,17.0
2016,NSW,C&D,Landfill,Energy recovery,10.0
2016,NSW,C&I,Anaerobic digestion,Recycling,50000.0
2016,NSW,C&I,Landfill,Disposal,154677.0
2016,NSW,C&I,Landfill,Energy recovery,88546.0
2016,NSW,C&I,Recycling,Recycling,40893.0
2016,NSW,MSW,Landfill,Disposal,495492.0
2016,NSW,MSW,Landfill,Energy recovery,283649.0
2016,NSW,MSW,Recycling,Recycling,350532.0
2016,NSW,Total,Anaerobic digestion,Recycling,50000.0
2016,NSW,Total,Energy from waste facility,Energy recovery,50000.0
2016,NSW,Total,Landfill,Disposal,650185.0
2016,NSW,Total,Landfill,Energy recovery,372205.0
2016,NSW,Total,Recycling,Recycling,341425.0
2016,NT,C&I,Landfill,Disposal,8087.0
2016,NT,C&I,Landfill,Energy recovery,1274.0
2016,NT,MSW,Landfill,Disposal,39827.0
2016,NT,MSW,Landfill,Energy recovery,6274.0
2016,NT,Total,Landfill,Disposal,47913.0
2016,NT,Total,Landfill,Energy recovery,7548.0
2016,Qld,C&I,Landfill,Disposal,250398.0
2016,Qld,C&I,Landfill,Energy recovery,59548.0
2016,Qld,MSW,Landfill,Disposal,511372.0
2016,Qld,MSW,Landfill,Energy recovery,121611.0
2016,Qld,Total,Landfill,Disposal,761770.0
2016,Qld,Total,Landfill,Energy recovery,181159.0
2016,Qld,Total,Recycling,Recycling,68635.0
2016,SA,C&I,Landfill,Disposal,29267.0
2016,SA,C&I,Landfill,Energy recovery,6216.0
2016,SA,C&I,Recycling,Recycling,8100.0
2016,SA,MSW,Landfill,Disposal,144359.0
2016,SA,MSW,Landfill,Energy recovery,30662.0
2016,SA,Total,Landfill,Disposal,173625.0
2016,SA,Total,Landfill,Energy recovery,36878.0
2016,SA,Total,Recycling,Recycling,8100.0
2016,Vic,C&D,Recycling,Recycling,882.0
2016,Vic,C&I,Landfill,Disposal,177810.0
2016,Vic,C&I,Landfill,Energy recovery,84405.0
2016,Vic,C&I,Recycling,Recycling,29736.0
2016,Vic,MSW,Landfill,Disposal,576423.0
2016,Vic,MSW,Landfill,Energy recovery,273624.0
2016,Vic,MSW,Recycling,Recycling,7059.0
2016,Vic,Total,Landfill,Disposal,754232.0
2016,Vic,Total,Landfill,Energy recovery,358030.0
2016,Vic,Total,Recycling,Recycling,37677.0
2016,WA,C&I,Landfill,Disposal,133190.0
2016,WA,C&I,Landfill,Energy recovery,32301.0
2016,WA,C&I,Recycling,Recycling,45782.0
2016,WA,MSW,Landfill,Disposal,305642.0
2016,WA,MSW,Landfill,Energy recovery,74124.0
2016,WA,MSW,Recycling,Recycling,48252.0
2016,WA,Total,Landfill,Disposal,438832.0
2016,WA,Total,Landfill,Energy recovery,106426.0
2016,WA,Total,Recycling,Recycling,94034.0
2015,ACT,C&I,Landfill,Disposal,10553.0
2015,ACT,C&I,Landfill,Energy recovery,6268.0
2015,ACT,MSW,Landfill,Disposal,21937.0
2015,ACT,MSW,Landfill,Energy recovery,13030.0
2015,ACT,Total,Landfill,Disposal,32490.0
2015,ACT,Total,Landfill,Energy recovery,19298.0
2015,NSW,C&D,Landfill,Disposal,27.0
2015,NSW,C&D,Landfill,Energy recovery,19.0
2015,NSW,C&I,Anaerobic digestion,Recycling,50000.0
2015,NSW,C&I,Landfill,Disposal,134048.0
2015,NSW,C&I,Landfill,Energy recovery,94622.0
2015,NSW,C&I,Recycling,Recycling,105627.0
2015,NSW,MSW,Landfill,Disposal,427778.0
2015,NSW,MSW,Landfill,Energy recovery,301963.0
2015,NSW,MSW,Recycling,Recycling,187175.0
2015,NSW,Total,Anaerobic digestion,Recycling,50000.0
2015,NSW,Total,Energy from waste facility,Energy recovery,50000.0
2015,NSW,Total,Landfill,Disposal,561853.0
2015,NSW,Total,Landfill,Energy recovery,396604.0
2015,NSW,Total,Recycling,Recycling,242803.0
2015,NT,C&I,Landfill,Disposal,7074.0
2015,NT,C&I,Landfill,Energy recovery,1176.0
2015,NT,MSW,Landfill,Disposal,34838.0
2015,NT,MSW,Landfill,Energy recovery,5794.0
2015,NT,Total,Landfill,Disposal,41912.0
2015,NT,Total,Landfill,Energy recovery,6971.0
2015,Qld,C&I,Landfill,Disposal,275687.0
2015,Qld,C&I,Landfill,Energy recovery,44847.0
2015,Qld,MSW,Landfill,Disposal,517906.0
2015,Qld,MSW,Landfill,Energy recovery,84250.0
2015,Qld,Total,Landfill,Disposal,793593.0
2015,Qld,Total,Landfill,Energy recovery,129097.0
2015,Qld,Total,Recycling,Recycling,19149.0
2015,SA,C&I,Landfill,Disposal,25675.0
2015,SA,C&I,Landfill,Energy recovery,9603.0
2015,SA,C&I,Recycling,Recycling,7900.0
2015,SA,MSW,Landfill,Disposal,132750.0
2015,SA,MSW,Landfill,Energy recovery,49651.0
2015,SA,Total,Landfill,Disposal,158425.0
2015,SA,Total,Landfill,Energy recovery,59253.0
2015,SA,Total,Recycling,Recycling,7900.0
2015,Vic,C&D,Recycling,Recycling,931.0
2015,Vic,C&I,Landfill,Disposal,161848.0
2015,Vic,C&I,Landfill,Energy recovery,100307.0
2015,Vic,C&I,Recycling,Recycling,68476.0
2015,Vic,MSW,Landfill,Disposal,507414.0
2015,Vic,MSW,Landfill,Energy recovery,314474.0
2015,Vic,MSW,Recycling,Recycling,4611.0
2015,Vic,Total,Landfill,Disposal,669262.0
2015,Vic,Total,Landfill,Energy recovery,414781.0
2015,Vic,Total,Recycling,Recycling,74018.0
2015,WA,C&I,Landfill,Disposal,153331.0
2015,WA,C&I,Landfill,Energy recovery,28314.0
2015,WA,C&I,Recycling,Recycling,37195.0
2015,WA,MSW,Landfill,Disposal,329821.0
2015,WA,MSW,Landfill,Energy recovery,60905.0
2015,WA,MSW,Recycling,Recycling,53954.0
2015,WA,Total,Landfill,Disposal,483152.0
2015,WA,Total,Landfill,Energy recovery,89219.0
2015,WA,Total,Recycling,Recycling,91149.0
2014,ACT,C&D,Landfill,Disposal,38.0
2014,ACT,C&I,Landfill,Disposal,21154.0
2014,ACT,C&I,Landfill,Energy recovery,5124.0
2014,ACT,C&I,Recycling,Recycling,391.0
2014,ACT,MSW,Landfill,Disposal,22011.0
2014,ACT,MSW,Landfill,Energy recovery,11574.0
2014,ACT,Total,Landfill,Disposal,43203.0
2014,ACT,Total,Landfill,Energy recovery,16698.0
2014,ACT,Total,Recycling,Recycling,391.0
2014,NSW,C&D,Landfill,Disposal,184.0
2014,NSW,C&D,Landfill,Energy recovery,48.0
2014,NSW,C&I,Anaerobic digestion,Recycling,30244.0
2014,NSW,C&I,Landfill,Disposal,170548.0
2014,NSW,C&I,Landfill,Energy recovery,49772.0
2014,NSW,C&I,Recycling,Recycling,88756.0
2014,NSW,MSW,Landfill,Disposal,640685.0
2014,NSW,MSW,Landfill,Energy recovery,189598.0
2014,NSW,MSW,Recycling,Recycling,188000.0
2014,NSW,Total,Anaerobic digestion,Recycling,30244.0
2014,NSW,Total,Energy from waste facility,Energy recovery,30244.0
2014,NSW,Total,Landfill,Disposal,811418.0
2014,NSW,Total,Landfill,Energy recovery,239418.0
2014,NSW,Total,Recycling,Recycling,246512.0
2014,NT,C&I,Landfill,Disposal,9760.0
2014,NT,C&I,Landfill,Energy recovery,1312.0
2014,NT,MSW,Landfill,Disposal,48066.0
2014,NT,MSW,Landfill,Energy recovery,6460.0
2014,NT,Total,Landfill,Disposal,57825.0
2014,NT,Total,Landfill,Energy recovery,7771.0
2014,Qld,C&I,Landfill,Disposal,287595.0
2014,Qld,C&I,Landfill,Energy recovery,39058.0
2014,Qld,C&I,Recycling,Recycling,52733.0
2014,Qld,MSW,Landfill,Disposal,526821.0
2014,Qld,MSW,Landfill,Energy recovery,71547.0
2014,Qld,MSW,Recycling,Recycling,15459.0
2014,Qld,Total,Landfill,Disposal,814416.0
2014,Qld,Total,Landfill,Energy recovery,110606.0
2014,Qld,Total,Recycling,Recycling,68192.0
2014,SA,C&I,Landfill,Disposal,20826.0
2014,SA,C&I,Landfill,Energy recovery,15433.0
2014,SA,MSW,Landfill,Disposal,53167.0
2014,SA,MSW,Landfill,Energy recovery,39399.0
2014,SA,MSW,Recycling,Recycling,8000.0
2014,SA,Total,Landfill,Disposal,73993.0
2014,SA,Total,Landfill,Energy recovery,54832.0
2014,SA,Total,Recycling,Recycling,8000.0
2014,Vic,C&I,Landfill,Disposal,157011.0
2014,Vic,C&I,Landfill,Energy recovery,88727.0
2014,Vic,C&I,Recycling,Recycling,65715.0
2014,Vic,MSW,Landfill,Disposal,588522.0
2014,Vic,MSW,Landfill,Energy recovery,332573.0
2014,Vic,MSW,Recycling,Recycling,15299.0
2014,Vic,Total,Landfill,Disposal,745533.0
2014,Vic,Total,Landfill,Energy recovery,421300.0
2014,Vic,Total,Recycling,Recycling,81014.0
2014,WA,C&I,Landfill,Disposal,112783.0
2014,WA,C&I,Landfill,Energy recovery,33337.0
2014,WA,C&I,Recycling,Recycling,12135.0
2014,WA,MSW,Landfill,Disposal,292507.0
2014,WA,MSW,Landfill,Energy recovery,86460.0
2014,WA,MSW,Recycling,Recycling,71067.0
2014,WA,Total,Landfill,Disposal,405291.0
2014,WA,Total,Landfill,Energy recovery,119797.0
2014,WA,Total,Recycling,Recycling,83202.0
2013,ACT,C&D,Landfill,Disposal,819.0
2013,ACT,C&I,Landfill,Disposal,9426.0
2013,ACT,C&I,Landfill,Energy recovery,2233.0
2013,ACT,MSW,Landfill,Disposal,23166.0
2013,ACT,MSW,Landfill,Energy recovery,11854.0
2013,ACT,Total,Landfill,Disposal,33411.0
2013,ACT,Total,Landfill,Energy recovery,14087.0
2013,ACT,Total,Recycling,Recycling,382.0
2013,NSW,C&D,Landfill,Disposal,46.0
2013,NSW,C&D,Landfill,Energy recovery,6.0
2013,NSW,C&I,Anaerobic digestion,Recycling,30244.0
2013,NSW,C&I,Landfill,Disposal,197726.0
2013,NSW,C&I,Landfill,Energy recovery,28997.0
2013,NSW,MSW,Landfill,Disposal,1121302.0
2013,NSW,MSW,Landfill,Energy recovery,167664.0
2013,NSW,Total,Energy from waste facility,Energy recovery,30244.0
2013,NSW,Total,Landfill,Disposal,1319074.0
2013,NSW,Total,Landfill,Energy recovery,196667.0
2013,NT,C&I,Landfill,Disposal,12552.0
2013,NT,C&I,Landfill,Energy recovery,1572.0
2013,NT,MSW,Landfill,Disposal,61818.0
2013,NT,MSW,Landfill,Energy recovery,7742.0
2013,NT,Total,Landfill,Disposal,74370.0
2013,NT,Total,Landfill,Energy recovery,9314.0
2013,Qld,C&I,Landfill,Disposal,264230.0
2013,Qld,C&I,Landfill,Energy recovery,54126.0
2013,Qld,MSW,Landfill,Disposal,484137.0
2013,Qld,MSW,Landfill,Energy recovery,99172.0
2013,Qld,Total,Landfill,Disposal,748367.0
2013,Qld,Total,Landfill,Energy recovery,153298.0
2013,Qld,Total,Recycling,Recycling,37786.0
2013,SA,C&I,Landfill,Disposal,38085.0
2013,SA,C&I,Landfill,Energy recovery,13170.0
2013,SA,MSW,Landfill,Disposal,97231.0
2013,SA,MSW,Landfill,Energy recovery,33622.0
2013,SA,Total,Landfill,Disposal,135317.0
2013,SA,Total,Landfill,Energy recovery,46792.0
2013,SA,Total,Recycling,Recycling,7000.0
2013,Vic,C&I,Landfill,Disposal,139521.0
2013,Vic,C&I,Landfill,Energy recovery,100107.0
2013,Vic,C&I,Recycling,Recycling,73360.0
2013,Vic,MSW,Landfill,Disposal,521754.0
2013,Vic,MSW,Landfill,Energy recovery,374361.0
2013,Vic,Total,Landfill,Disposal,661275.0
2013,Vic,Total,Landfill,Energy recovery,474467.0
2013,Vic,Total,Recycling,Recycling,73360.0
2013,WA,C&I,Landfill,Disposal,171754.0
2013,WA,C&I,Landfill,Energy recovery,36203.0
2013,WA,C&I,Recycling,Recycling,12553.0
2013,WA,MSW,Landfill,Disposal,303323.0
2013,WA,MSW,Landfill,Energy recovery,63935.0
2013,WA,MSW,Recycling,Recycling,44795.0
2013,WA,Total,Landfill,Disposal,475077.0
2013,WA,Total,Landfill,Energy recovery,100137.0
2013,WA,Total,Recycling,Recycling,57348.0
2010,ACT,C&D,Landfill,Disposal,1485.0
2010,ACT,C&D,Landfill,Energy recovery,461.0
2010,ACT,C&I,Landfill,Disposal,9220.0
2010,ACT,C&I,Landfill,Energy recovery,2864.0
2010,ACT,MSW,Landfill,Disposal,26986.0
2010,ACT,MSW,Landfill,Energy recovery,8382.0
2010,ACT,Total,Landfill,Disposal,37691.0
2010,ACT,Total,Landfill,Energy recovery,11707.0
2010,ACT,Total,Recycling,Recycling,647.0
2010,NSW,C&I,Landfill,Disposal,395746.0
2010,NSW,C&I,Landfill,Energy recovery,124362.0
2010,NSW,MSW,Landfill,Disposal,758820.0
2010,NSW,MSW,Landfill,Energy recovery,238457.0
2010,NSW,Total,Landfill,Disposal,1154567.0
2010,NSW,Total,Landfill,Energy recovery,362818.0
2010,NT,C&I,Landfill,Disposal,7303.0
2010,NT,C&I,Landfill,Energy recovery,1512.0
